[08/15 05:59:14.974] | WARNING  | pika.connection | rabbitmq_reactor | Disconnected from RabbitMQ at quality-rabbitmq-lb-1284426831.us-east-1.elb.amazonaws.com:5671 (200): Normal shutdown
[08/15 05:59:25.627] | INFO     | micro.wdog | main_reactor | qml_ping_handler(): Received QML ping response
[08/15 05:59:28.025] | INFO     | detection  | main_reactor | Watchdog puck: 1 SUM energy: 0 Z energy: 0 light 6000 photocell state 0
[08/15 05:59:28.027] | CRITICAL | detection  | main_reactor | Unicorn not connected to Banner daemon
[08/15 05:59:28.027] | INFO     | detection  | main_reactor | _init_banner_socket: illegal_ids = [u'3', u'4']
[08/15 05:59:28.028] | INFO     | detection  | main_reactor | _init_banner_socket: msg = 1723701568,2,2

[08/15 05:59:28.201] | INFO     | detection  | main_reactor | Watchdog puck: 2 SUM energy: 0 Z energy: 0 light 6000 photocell state 0
[08/15 05:59:28.202] | CRITICAL | detection  | main_reactor | Unicorn not connected to Banner daemon
[08/15 05:59:28.202] | INFO     | detection  | main_reactor | _init_banner_socket: illegal_ids = [u'3', u'4']
[08/15 05:59:28.203] | INFO     | detection  | main_reactor | _init_banner_socket: msg = 1723701568,2,2

[08/15 06:00:10.823] | INFO     | rates      | main_reactor | Rebuilding rate schedule with origin_dt 2024-08-14 01:00:10.823574 duration 6 days, 0:00:00
[08/15 06:00:10.824] | INFO     | rates      | main_reactor | grs(): Ignoring force returning cached sch (cached_start=2024-08-11 10:20:10.757283 cached_end=2024-08-29 10:20:10.757283 req_start=2024-08-14 01:00:10.823574 req_end=2024-08-28 01:00:10.823574) #days 18 days, 0:00:00
[08/15 06:00:10.824] | INFO     | rates      | main_reactor | Rebuilt rate schedule --- Schedule: origin=2024-08-11 10:20:10.757283 ---
-- 2024-08-11 00:00:10.757283
   rate_block_type: fixed, id: -1, parker_type: normal, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-22 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: senior, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: muni, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: veteran, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 00:56:00
   rate_block_type: fixed, id: -1, parker_type: normal, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-22 00:57:00
   rate_block_type: fixed, id: -1, parker_type: handicap, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-22 00:57:00
   rate_block_type: fixed, id: -1, parker_type: senior, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-22 00:57:00
   rate_block_type: fixed, id: -1, parker_type: muni, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-22 00:57:00
   rate_block_type: fixed, id: -1, parker_type: veteran, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-22 00:57:00
   rate_block_type: free, id: 7267, parker_type: normal, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 01:27:00
   rate_block_type: free, id: 7267, parker_type: handicap, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 01:27:00
   rate_block_type: free, id: 7267, parker_type: senior, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 01:27:00
   rate_block_type: free, id: 7267, parker_type: muni, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 01:27:00
   rate_block_type: free, id: 7267, parker_type: veteran, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 01:27:00
   rate_block_type: fixed, id: 7268, parker_type: normal, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: handicap, cost per mins: 12.5¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: senior, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: muni, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: veteran, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-22 02:02:00
   rate_block_type: fixed, id: -1, parker_type: normal, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-22 02:03:00
   rate_block_type: fixed, id: -1, parker_type: handicap, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-22 02:03:00
   rate_block_type: fixed, id: -1, parker_type: senior, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-22 02:03:00
   rate_block_type: fixed, id: -1, parker_type: muni, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-22 02:03:00
   rate_block_type: fixed, id: -1, parker_type: veteran, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-22 02:03:00
   rate_block_type: no_parking, id: 7269, parker_type: normal, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-22 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: handicap, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-22 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: senior, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-22 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: muni, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-22 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: veteran, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-22 04:07:00
   rate_block_type: fixed, id: 7270, parker_type: normal, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 00:00:14.089679
   rate_block_type: fixed, id: 7270, parker_type: handicap, cost per mins: 12.5¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 00:00:14.089679
   rate_block_type: fixed, id: 7270, parker_type: senior, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 00:00:14.089679
   rate_block_type: fixed, id: 7270, parker_type: muni, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 00:00:14.089679
   rate_block_type: fixed, id: 7270, parker_type: veteran, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 00:00:14.089679
   rate_block_type: fixed, id: 7266, parker_type: normal, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: handicap, cost per mins: 12.5¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: senior, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: muni, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: veteran, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 00:56:00
   rate_block_type: fixed, id: -1, parker_type: normal, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-23 00:57:00
   rate_block_type: fixed, id: -1, parker_type: handicap, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-23 00:57:00
   rate_block_type: fixed, id: -1, parker_type: senior, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-23 00:57:00
   rate_block_type: fixed, id: -1, parker_type: muni, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-23 00:57:00
   rate_block_type: fixed, id: -1, parker_type: veteran, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-23 00:57:00
   rate_block_type: free, id: 7267, parker_type: normal, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 01:27:00
   rate_block_type: free, id: 7267, parker_type: handicap, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 01:27:00
   rate_block_type: free, id: 7267, parker_type: senior, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 01:27:00
   rate_block_type: free, id: 7267, parker_type: muni, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 01:27:00
   rate_block_type: free, id: 7267, parker_type: veteran, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 01:27:00
   rate_block_type: fixed, id: 7268, parker_type: normal, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: handicap, cost per mins: 12.5¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: senior, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: muni, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: veteran, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-23 02:02:00
   rate_block_type: fixed, id: -1, parker_type: normal, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-23 02:03:00
   rate_block_type: fixed, id: -1, parker_type: handicap, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-23 02:03:00
   rate_block_type: fixed, id: -1, parker_type: senior, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-23 02:03:00
   rate_block_type: fixed, id: -1, parker_type: muni, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-23 02:03:00
   rate_block_type: fixed, id: -1, parker_type: veteran, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-23 02:03:00
   rate_block_type: no_parking, id: 7269, parker_type: normal, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-23 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: handicap, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-23 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: senior, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-23 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: muni, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-23 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: veteran, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-23 04:07:00
   rate_block_type: fixed, id: 7270, parker_type: normal, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 00:00:14.089679
   rate_block_type: fixed, id: 7270, parker_type: handicap, cost per mins: 12.5¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 00:00:14.089679
   rate_block_type: fixed, id: 7270, parker_type: senior, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 00:00:14.089679
   rate_block_type: fixed, id: 7270, parker_type: muni, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 00:00:14.089679
   rate_block_type: fixed, id: 7270, parker_type: veteran, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 00:00:14.089679
   rate_block_type: fixed, id: 7266, parker_type: normal, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: handicap, cost per mins: 12.5¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: senior, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: muni, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: veteran, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 00:56:00
   rate_block_type: fixed, id: -1, parker_type: normal, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-24 00:57:00
   rate_block_type: fixed, id: -1, parker_type: handicap, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-24 00:57:00
   rate_block_type: fixed, id: -1, parker_type: senior, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-24 00:57:00
   rate_block_type: fixed, id: -1, parker_type: muni, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-24 00:57:00
   rate_block_type: fixed, id: -1, parker_type: veteran, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-24 00:57:00
   rate_block_type: free, id: 7267, parker_type: normal, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 01:27:00
   rate_block_type: free, id: 7267, parker_type: handicap, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 01:27:00
   rate_block_type: free, id: 7267, parker_type: senior, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 01:27:00
   rate_block_type: free, id: 7267, parker_type: muni, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 01:27:00
   rate_block_type: free, id: 7267, parker_type: veteran, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 01:27:00
   rate_block_type: fixed, id: 7268, parker_type: normal, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: handicap, cost per mins: 12.5¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: senior, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: muni, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: veteran, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-24 02:02:00
   rate_block_type: fixed, id: -1, parker_type: normal, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-24 02:03:00
   rate_block_type: fixed, id: -1, parker_type: handicap, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-24 02:03:00
   rate_block_type: fixed, id: -1, parker_type: senior, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-24 02:03:00
   rate_block_type: fixed, id: -1, parker_type: muni, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-24 02:03:00
   rate_block_type: fixed, id: -1, parker_type: veteran, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-24 02:03:00
   rate_block_type: no_parking, id: 7269, parker_type: normal, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-24 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: handicap, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-24 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: senior, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-24 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: muni, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-24 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: veteran, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-24 04:07:00
   rate_block_type: fixed, id: 7270, parker_type: normal, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 00:00:14.089679
   rate_block_type: fixed, id: 7270, parker_type: handicap, cost per mins: 12.5¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 00:00:14.089679
   rate_block_type: fixed, id: 7270, parker_type: senior, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 00:00:14.089679
   rate_block_type: fixed, id: 7270, parker_type: muni, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 00:00:14.089679
   rate_block_type: fixed, id: 7270, parker_type: veteran, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 00:00:14.089679
   rate_block_type: fixed, id: 7266, parker_type: normal, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: handicap, cost per mins: 12.5¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: senior, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: muni, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 00:56:00
   rate_block_type: fixed, id: 7266, parker_type: veteran, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 00:56:00
   rate_block_type: fixed, id: -1, parker_type: normal, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-25 00:57:00
   rate_block_type: fixed, id: -1, parker_type: handicap, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-25 00:57:00
   rate_block_type: fixed, id: -1, parker_type: senior, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-25 00:57:00
   rate_block_type: fixed, id: -1, parker_type: muni, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-25 00:57:00
   rate_block_type: fixed, id: -1, parker_type: veteran, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-25 00:57:00
   rate_block_type: free, id: 7267, parker_type: normal, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 01:27:00
   rate_block_type: free, id: 7267, parker_type: handicap, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 01:27:00
   rate_block_type: free, id: 7267, parker_type: senior, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 01:27:00
   rate_block_type: free, id: 7267, parker_type: muni, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 01:27:00
   rate_block_type: free, id: 7267, parker_type: veteran, cost per mins: 0¢/0, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 01:27:00
   rate_block_type: fixed, id: 7268, parker_type: normal, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: handicap, cost per mins: 12.5¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: senior, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: muni, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 02:02:00
   rate_block_type: fixed, id: 7268, parker_type: veteran, cost per mins: 25.0¢/15, max_time: 240, free_time_on_first_payment: 0, card_increment_time 15, default_minimum_cost 100
-- 2024-08-25 02:02:00
   rate_block_type: fixed, id: -1, parker_type: normal, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-25 02:03:00
   rate_block_type: fixed, id: -1, parker_type: handicap, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-25 02:03:00
   rate_block_type: fixed, id: -1, parker_type: senior, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-25 02:03:00
   rate_block_type: fixed, id: -1, parker_type: muni, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-25 02:03:00
   rate_block_type: fixed, id: -1, parker_type: veteran, cost per mins: 25.0¢/30, max_time: 120, free_time_on_first_payment: 0, card_increment_time 30, default_minimum_cost 75
-- 2024-08-25 02:03:00
   rate_block_type: no_parking, id: 7269, parker_type: normal, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-25 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: handicap, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-25 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: senior, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-25 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: muni, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-25 04:07:00
   rate_block_type: no_parking, id: 7269, parker_type: veteran, cost per mins: 0¢/0, max_time: 0, free_time_on_first_payment: 0, card_increment_time 0, default_minimum_cost 0
-- 2024-08-25 04:07:00
